|firstCQs|secondCQs|score
394|What should light switches be placed above finished floor level in accordance with SANS?|What is the minimum thickness of the floor?|0.7437
395|What should light switches be placed above finished floor level in accordance with SANS?|?|0.7142
396|What should light switches be placed above finished floor level in accordance with SANS?|What is required in Section above?|0.7138
397|What should light switches be placed above finished floor level in accordance with SANS?|What should be included in the particular component of the works that has to be improved?|0.7111
398|Where o convenient hydrant exists?|Where the water source is being further developed?|0.729
399|What are the performance requirements of WIS?|What is the WSAs role as the customer representative?|0.7361
400|What are the performance requirements of WIS?|What is the Council Standard Specification CE WS?|0.7353
401|What are the supply authorities requirements for standby generators?|What type of hard standing is required?|0.7493
402|What are the minimum internal dimensions of an oval seat?|What is a Saddle connection?|0.7152
403|What are the minimum internal dimensions of an oval seat?|What is a saddle fitting?|0.7109
404|What are the minimum internal dimensions of an oval seat?|What is the difference between a saddle and a special?|0.7083
405|What is a creep deformation recovery?|What is the cost effective way to minimise its occurrence?|0.7424
406|What is required to remove the hoist units after each use?|Where th is is unavoidable?|0.7451
407|What are the requirements for rising main profiles in accor dance?|What is required in Section above?|0.7194
408|What are the requirements for rising main profiles in accor dance?|What should be used as far as possible?|0.7171
409|What are the requirements for rising main profiles in accor dance?|What is the Code of Practice and Standard Details?|0.7145
410|What is the difference between uf Solar cells and WIVA chargers?|What solar means are available for small power requirements?|0.7495
411|What is the difference between uf Solar cells and WIVA chargers?|What will Solar ce lls do when o mains power is available?|0.7189
412|What is the difference between uf Solar cells and WIVA chargers?|What is a Surcharge?|0.6687
413|What is the difference between uf Solar cells and WIVA chargers?|What is the following uf?|0.668
