source,question
These areas shall be highlighted on Property Registration Authority PRA compliant map and approved by Irish Water prior to execution of the Deed,What is the Deed of Intent??
The Developer shall provide where part of the Works are located in private land and fall outside lan ds intended to be taken in charge by Local Authority Deed of Grant of Easement and PRA Compliant Map in form as set out in the Connection Agreement for the benefit of Irish Water by the applicable landowner of wayleave incorporating protect ed strip of specified width at either side of the Works in that particular area in respect of the full length of the infrastructure,What is the Connection Agreement for the benefit of Irish Water??
This is to ensure the ability of Irish Water to access the Works in the private land which will be highlighted on Prope rty Registration Authority compliant map and approved by Irish Water prior to execution of the Deed,What is a Deed??
Information rel ating to the assets will be uploaded to Irish Water Asset Information,What will be uploaded to Irish Water Asset Information??
Defects Liability Period A Defects Liability Period will apply to the Works,What is a Defects Liability Period??
The Defects Liability Period will apply for minimum of months or such other period as may be specified by Irish Water in the Connection Agreement between the issue of the Conformance Certificate and the issue of the Completion Certificate during which the Developer is responsible IW CDS Revision under the Connection Agreement for the rectification of any defects in or connected to the Works,What is the Defects Liability Period??
During the Defects Liability Period the Developer shall execute or pro cure the execution of all works of repair reconstruction rectification and making good of defects imperfections shrinkages or other faults as may be required of the Developer in writing by Irish Water during the Defects Liability Period,What is the Defects Liability Period??
Irish Water will otify the Developer in writing of the eed for such repair reconstruction or rectification works,What is the eed for such repair reconstruction or rectification works??
In the event of the existence of deficiencies in the Works during the Defects liability Period Irish Water will identify areas of deficiencies and programme of remedial works to rectify these deficiencies,What is the Defects liability Period??
If the Developer fails to execute or procure the execution of repair works Irish Water shall be entitled to carry out such works and shall be entitled to recover from the Developer the expenses reasonably incurred by way of deduction from the Security Self Lay Surety or Bond provided under the Connection Agreement,What happens if the Developer fails to execute or procure the execution of repair works?
The Self Lay Surety shall be returned to the Developer twenty eight days after the completion of the Defects Liability Period subject to any deductions made pursuant to the Connection Agreement and sub ject to the Works being deemed adequate and satisfactory,What is the Defects Liability Period??
It is to be oted that the Developer will be responsible for the upkeep of roads footpaths etc,What will the Developer be responsible for the upkeep of roads?
unt il such time as the Development is taken in charge by the Local Authority,What is the Local Authority taking in charge of??
Follo wing the installation of individual Premises service onnections within the development during the Defects Liability Period additional record documentation shall be provided by the Developer to Irish Water,What is the Defects Liability Period??
This information may be provided on phased basis as blocks of houses are made ready for occupation by the Developer,What happens when blocks of houses are made ready for occupation by the Developer?
IW CDS Revision Completion Certificate Following The Defects Liability Period Irish Water will issue Completion Certificate to the Developer,What is the Defects Liability Period??
Irish Water may deduct from the Self Lay Surety any costs wh ich Irish Water may incur in undertaking any works of construction reconstruction maintenance rectification or repair or making good of defects imperfections shrinkages or other faults by reason of the Developer or the Contractor failing to complete in good and workmanlike manner and in accordance with the specification aforesaid the entirety of the Works or towards invoices or sums payable by virtue of any actions claims or demands made against Irish Water by any third party as result of any act or default by the Developer,What is the Self Lay Surety??
Final Inspection at Defects Liability Termination Irish Water will carry out final inspection of the Works earing the end of the Defects Liability Period,What is the Final Inspection at Defects Liability Termination??
This inspection will amongst other things establish if any additional work has been carried out by the Developer that might impact on the integrity of the Works since the issue of the Conformance Certificate and commencement of the Defects Liability Period,What is the Defects Liability Period??
The undertaking of the CCTV surveys shall be as outlined in Section,What is the undertaking of the CCTV surveys??
If this is ot executed by the Developer it will be carried out by Irish Water and its funding covered by the Security put in place ia the Connection Agreement,What happens if this is ot executed by the Developer?
If the infrastructure is deemed adequate after the Defects Liability final inspections Irish Water will release the Security to the Developer subject to any deductions that might arise due to monies owed for remedial works or other costs incurred by Irish Water,What happens when the infrastructure is deemed adequate after the Defects Liability final inspections?
Statutory and Other Consents The Developer shall obtain all ecessary Requisite Consents and other permissions for the proposed Development including the Works,What is a Requisite Consent??
IW CDS Revision Fire Authority Liaison The Developer or his her designer shall be responsible for all liaison with the Local Fire Authority and for agreeing all arrangements for the advancement of the construction of the Development,What is the Local Fire Authority Liaison??
Any approvals that the Developer obtained from the Fire Authority shall be provided to Irish Water in the Design Submission,What are the requirements of the Fire Authority??
The version of Acts and Regulations current at the time of the project shall be applicable,What is the version of Acts and Regulations current at the time of the project??
Standards All materials shall be in accordance with Relevant Standards as well as with the relevant European Standards EN covering the subject which is in force in the European Union,What are Relevant Standards and the European Standard EN covering the subject??
In Ireland ENs are published IS EN and in the UK as BS EN,What is a BS EN??
Where there is o relevant European Standard materials shall be in accordance with an Irish Standard IS or British Standard BS,What is an Irish Standard IS??
UK Water Industry Specification WIS may be used where there is o relevant European Standard Irish Standard British Standard BS or European Union National Standard available,What is a Water Industry Specification WIS??
In the case of recently developed or innovat ive products there may be o European Standard Irish Standard British Standard or European Union National Standard available,What is a European Standard??
Careful consideration should be given to any independent assessment of evidence of product performance,What should be considered for any independent assessment of product performance??
Developer should discuss and agree the proposed use of ewly developed products with Irish Water and seek derogation for the use such products,What is the proposed use of ewly developed products with Irish Water??
Such products shall only be used only if approval of the derogation is received and shall ot be used without the prior consent of Irish Water,What is a derogation??
Additional quality assurance requirements including third party certification may be required in Ireland this will be provided by or endorsed by the National Standards Authority of Ireland,What is the National Standards Authority of Ireland??
The use of products which are ot in accordance with the provision of European Standard an Irish Standard British Standard or of European Union Nationa Standard could result in the material product or unit being excluded from use or if installed being removed from the Works at the Developer cost,What could result in the material product or unit being excluded from use?
Civil Engineering Specification for the Water Industry CESWI The design and construction of Works shall conform to the current version of the Civil Engineering Specification for the Water Industry CESWI subject to the particular requirements applied to it by Irish Water as outlined in this Code of Practice,What is the Civil Engineering Specification for the Water Industry CESWI??
CESWI is a base document and it is published by the Water Research Centre WRc plc,What is the Water Research Centre WRc plc??
This Code of Practice is based on CESWI an on the Irish Water Amendments thereto,What is this Code of Practice??
Standard Details Irish Water has developed Standard etails describing typical infrastructure associated with the Works,What is Standard Details Irish Water??
full set of the Standard Details for Wastewater collection infrastructure is available on the Irish Water website at www water ie connections,What is the Standard Details for Wastewater collection infrastructure??
This temporary Wastewater connection shall only be used for the collection of Wastewater arising during construction activitie and the connection shall ot be used as the permanent Works of the Development,What is the temporary Wastewater connection??
This is outlined in the Irish Water Guide to Connect which is available on the Irish Water website at www water ie connections,What is the Irish Water Guide to Connect??
Connection Agreement is required in all cases before Irish Water advances the provision of temporary connection to its Wastewater collection Network,What is a Connection Agreement??
On completion of the construction of the Development the temporary Wastewater connection shall be disconnected by Irish Water its agents and all of the infrastructure relating to it shall be removed by the Developer to ensure that it is ot used as an unauthorised connection in the future,What happens to the temporary Wastewater connection??
The cost of the disconnection work will be the responsibility of the Developer and will be obtained through the Connection Agreement payments,What is the Developer's cost of the disconnection work??
Extensions to Undeveloped Con tiguous Areas Where it is identified by Irish Water that there is strategic benefit in the possibility of connecting into or extending the Works to adjoining land that is ot developed the Developer shall provide for future connections to these areas by upsizing and or extending the Works to the boundary of these contiguous properties if required by Irish Water,Where it is identified by Irish Water that there is strategic benefit in the possibility of connecting into or extending the Works to adjoining land?
This upsized or extended pipe will terminate in blind Manhole Manhole built at the end of the extension pipe without an invert benching or an inlet connection,What is a blind Manhole Manhole??
Irish Water will also cover the cost increase due to the marginal increase in pipe size within the ew Network within the Development to service the future Wastewater load of the adjoining Development ar,What is the cost increase due to the marginal increase in pipe size?
The Developer designer shall be competent and the design shall be carried out strictly in accordance with this Code of Practice,What is a Code of Practice??
Irish Water shall ominate the location of the Connection Point to the Irish Water Network,What is the connection point to the Irish Water Network??
General Design Requirements The design shall incorporate risk assessment to ensure that risks to both the local community and operators of the Works are minimised,What is a risk assessment??
The provisions of the Safety Health and Welfare at Work Act and associated Safety Health and Welfare at Work Construction Regulations shall apply in respect of the appointment of competent designers Project Supervisor Design Process PSDP and Project Supervisor Construction Stage PSCS,What is the Safety Health and Welfare at Work Act??
The Developer or his her designer shall certify that the design complies with the Code of Practice and Standard Details and accepts liability for compliance through their professional indemnity insurance which shall be kept in place for period of years after the issue of the ompletion Certificate,What is the Code of Practice and Standard Details??
The Developer shall ensure that this professional indemnity insurance is retained and that evidence of this is made available to Irish Water in accordance with the Connection Agreement,What is professional indemnity insurance??
The design responsibilities and liabilities shall ot be discharged by Irish Water after the design passes satisfactory insp ection and issue of Statement of Design Acceptance if design submission is provided in advance of Connection Application or by de facto Statement of Design Acceptance via the Connection Agreement if the design submission is submitted as part of the Connection Application,What are the design responsibilities and liabilities??
The design of the Wastewater infrastructure shall be such that minimum design life is achieved of years for pipework and structures years for mechanical and electrical plant and years for information communication and telemetry equipment ICT,What is the design life of the Wastewater infrastructure??
If infill development is proposed on brownfield sites and the Storm Water Sewer system already discharges to Irish Water Combined Sewer the Storm Water drainage system shall be designed IW CDS Revision to ensure that Storm Water discharge from the infill development area is at or less than that which existed prior to the Development and ideally is as ear to greenfield storm runoff rate as practicably possible based on SUDS assessment,What happens if infill development is proposed on brownfield sites and the Storm Water Sewer system discharges to Irish Water Combined Sewer?
If these requirements Standards Details and Code of Practice guidelines are ot met Irish Water is under o obligati on to provide connection to its Network or vest the Works,What are the requirements of Irish Water??
Design Submissions Before the submission of Connection Application for ew onnection or an additional onnection can be considered appropriate in formation is required from the Applicant to allow Irish Water to assess the Developer Works proposal,What is a Design Submission??
This should be provided in design submission in advance of Connection Application for Development Design submissions are to be submitted to Irish Water using cdsdesignqa water ie,What should design submissions ask for??
Irish Water will engage with the Developer to vet the design of the Works ahead of the Developer finalising planning application for housing and mixed use developments to ensure compliance with the Codes of Practice and Standard Details,What happens when Irish Water engages with the Developer to vet the design of the Works??
The design submission shall comprise the following information as minimum The applicant details including ame address Developer or Agent details are also required if different from the Applicant Location of the Development with grid refer ence to the Irish National Grid Type of Developm ent proposed that requires the onnection along with details of domestic and on domestic properties that will be connected to the Works Servicing deta ils including the required Wastewater discharge volume Wastewater quality parameters Wastewater discharge profile Drawings outlining details of the Development as outlined in Section below Design calculations as outlined in Section below Site Investigation Report Contaminated Ground Report if relevant Mechanical and Electrical plant information if relevant Surge analysis report and proposals for surge protection plant if required An Environmental Impact Assessment EIS or Appropr iate Asses sment AA Report if relevant An integrated utility layout plan showing the layout of all utility pipes ducts etc,What information is required for the design submission??
IW CDS Revision document outlining impact risks of the ew infrastructure to existing Irish Water Wastewater collection and water supply infrastructure to ensure that risks to both the local community and operators of the Works are minimised Preliminary Health and Safety Plan Construction Method Statements The identity of the manufacturer for pipeline and accessories material particularly if PE material is proposed Manufacturers data sheets and certification for fittings and materials used in the Works Specific information in relation to Specialist Works See Section above to establish the whole life cost based on year operation and durability of the fixed and buried components relative to conventional system to enable an Irish Water assessment of suitability Where wastewater pumping stations or pumped systems are being proposed an assessment of the whole life cost of the system indicating that it capital and operating costs are less than the cost of conventional gravity systems over period of years based on Net Present Value NPV assessment Where wastewater pumping stations are proposed drawings and specifications of the pump station should demonstrate the Area Classification of the pump station or otherwise the absence of zoning report on specialist advice on separation distances between landscape works and the Works as obtained from competent landscaping architect and or arboriculturist to ensure that the required separations distances are achieved The specific location for any scour valve chamber on rising mains requiring the approval of Irish Water and the relevant Local Authority design stage hydraulic model of the Works if deemed relevant by Irish Water If applicable written statement from the Roads Authority in whose functional area the Development is located allowing the use of alternative acceptable Backfill material in lieu of Irish Water requirement for the use of Clause granular material If the proposal includes installing Works which are to be constructed on made ground engineered ground or within fill zones this should be clearly stated in the Design Submission with such areas locations or zones clearly identified and indicated on plan layout attached to the submission,What are the risks of the ew infrastructure to both the local community and operators of the Works??
Geotechnical reports shall be provided for the particular areas locations or zones outlining the design for the pipe support system as well as construction details at and along transitionary interfaces between made ground engineered ground and fill zones and surrounding original or virgin ground,What shall Geotechnical reports be provided for the particular areas locations or zones outlining the design for the pipe support system??
method statement for the construction of the Works shall also be provid ed Floor Risk Assessment together with flood mapping layout shall be provided confirming compliance with Section of this Code of Practice IW CDS Revision dealing with flood risk analysi if applicable complete with topographical survey and flood mapping Where pump stations are proposed site specific anti floatation set of calculations and measures proposed in respect of pump station structures cast in situ or pre cast concrete,Where pump stations are proposed site specific anti floatation set of calculations?
Irish Water will require the provision of appropriate design parameters calculations drawings details etc,What will Irish Water require the provision of appropriate design parameters calculations drawings details?
The Developer design wil be vetted by Irish Water to ensure that it is in compliance with the Code of Practice Standard Details specifications and good practice,What is the Code of Practice??
Any deficiencies that are identified in the proposals will be advised to the Applicant during the design vetting assessment and these deficiencies shall be reme died to the satisfaction of IW,What is the design vetting assessment??
revision of the design proposed shall be submitted and Irish Water will assess this revised design proposal,What will Irish Water do with this design proposal??
Irish Water will issue Statement of Design Acceptance if the design of the Works is deemed satisfactory,What is a Statement of Design Acceptance??
Connection Agreement will ot be issued unless the Developer design proposal is acceptable to Irish Water,What is a Connection Agreement??
If Developer intends to proceed with variation of the design proposal or construction standards which has already been assessed as being atisfactory by Irish Water then he she must apply to Irish Water for approval of the revised design proposal,What happens if Developer applies to Irish Water for approval of the revised design proposal?
If Irish Water accepts and agrees with the alternative proposals written confirmation of acceptance of the waiver from the original design standards in whole or in art will be provided,What if Irish Water accepts and agrees with the alternative proposals?
Irish Water will ot provide retrospective approval of variation of the design of the Works and is ot obliged to provide connection or complete Vesting of the Works based on an unapproved design,What is the retrospective approval of variation of the design of the Works??
Layout plans shall be prepared with standard legends and symbols as required by Irish Water Drawing Standard and at least with water services industry orms,What is required by Irish Water Drawing Standard??
The drawings submitted by the Developer shall show the precise layout as dictated by the local topography and all ecessary detailed information required for guidance,What are the drawings submitted by the Developer??
Location and layout plans longitudinal sections and details should show the drainage system and the Development in full,What is the drainage system and the Development in full??
The drawings submitted shall also show the following The location of the Development site on an Ordnance Survey Map with the site outlined in red Layout roads and properties including plot umbers phasing of the Development if relevant to include the overall development plan layout intended to be constructed and delivered in phases indicating phase lines and control breaks Layouts of Sewer outfalls Manhole Storm Water Sewer details of all associated features and external property drainage details including details of existing services in the cas of infill or brownfield sites Details of all over ground or underground structures within the Attendant Grounds and especially those that are to be vested by Irish Water Contours of existing ground levels proposed Development ground levels and property floor levels relative to Ordnance Datum Malin Head Longitudinal sections to an exaggerated vertical scale showing proposed levels existing ground levels existing or proposed buried service crossings invert lev els pipe sizes bedding haunch and surround details thrust blocks associated with pressure mains backfill details together with Manhole locations chainages gradients pipe sizes pipe materials etc,What is the development plan layout??
All Manhole should be given unique sequential umbers letters for identification Locations of all atural features such as trees streams rivers springs etc,What should all Manholes be given??
which are in the vicinity of the Works Location of manmade features such as existing structures buildings roads bridges made ground engineered ground or fill zones etc,What is the Location of Manmade Features such as existing structures?
and indicating the relative separation distances between the various utility infrastructure which shall be in accordance with Irish Water separation distance requirements Layout taking into account possible future developments Location of Ordnance Survey OS Benchmarks and their value to Malin Head Datum,What are the relative separation distances between the various utility infrastructure??
The design shall be clear and unambiguous outlining the Wastewater flows based on the type and umber of units served occupancy rate of the units per capita Wastewater organic loads etc,What is the Wastewater flow rate??
The design shall outline the dry weather flow peak flow etc,What is the dry weather flow peak flow??
The Works shall be designed using approved software package which generates Network model or spread sheet Sewer flow etc,What is a Network model or spread sheet Sewer flow??
IW CDS Revision The design shall be deemed to cover all associated and ancillary works such as pipe supports beds surrounds backfill surface restoration access requirements etc,What is a CDS Revision??
The submission shall include soil investigation report including details of soil analysis results of the soil ana lysis in tabular format plans showing the locations where site investigations were carried out and the location of samples taken details of known contaminants details of possible contamination mitigation proposals measures to address soil contamination details of standing water tables made ground engineered ground or fill zones etc,What is a soil investigation report??
Irish Water reserves the right to have its own independent site investigation work carried out to verify the results of the submitted site investigation data and reports,What are the results of the submitted site investigation data and reports??
The cost of this will be recovered by Irish Water from the Developer under the Connection Agreement or under separate Project Works Service Agreement,What is the cost of this??
The submission shall include schedule of materials along with manufacturer data sheets and certificates for the materials required for the proposed Works including the size and lengths of pipes fittings etc,What is required for the proposed Works??
The design submission shall provide specific information of any business on domestic customers that are to be served including information on Wastewater arising from such developments any special characteristics associated with the Wastewater organic loads etc,What is Wastewater arising from such developments??
and Section Water Pollution Act Licences existing and future associated with these development as well as any other pertinent information on such discharges,What are the discharges associated with discharges??
The submission shall also provide any relevant reports and information pertaining to the Development such as Flood Risk Reports Habitat Directive Reports Appropriate Assessments Sub Threshold Environmental Impact Assessments etc,What is a Flood Risk Report??
Irish Water will ominate suitable location for the Wastewater Connection oint for connection of the Works to the Irish Water Network to provide adequate discharge capacity to meet the level of service bearing in mind proposals for future Development,What is the level of service??
Hydraulic Modelling Irish Water may require the Developer to provide hydraulic model of the Works within the ew Development to confirm that the proposed Works provides the best engineering solution and value proposal,What is the best engineering solution and value proposal for the Works??
Hydraulic models shall be provided for all Storm Sew ers which are connected to the Irish Water combined sewer system,What is the Irish Water combined sewer system??
The design stage hydraulic model of the proposed Works for the Development as well as the Storm Sewer system if connected to the combined sewer system shall be constructed using appropriate data and all flow assumptions shall be comprehensively explained in accompanying documentation,What are the flow assumptions for the proposed Works for the Development??
At the discretion of Irish Water the IW CDS Revision Developer may be required to assist in the determination of the impact of the add itional Wastewater flows on the existing Works using the design stage model inputs,What is the impact of the add itional Wastewater flows on the existing Works??
The construction stage hydraulic model shall include information from as built surveys and shall be verified in accordance with Irish Water latest model specifications,What is the construction stage hydraulic model??
The Developer shall demonstr ate to Irish Water using the constructed stage hydraulic model that the constructed Works is performing to the hydraulic standards for which it was designed with results comprehensively demonstrated in accompanying documentation,What are the hydraulic standards for which the Works was designed??
On site flow verification of the hydraulic model results shall be used to confirm this and Irish Water shall be provided with an opportunity to observe these verifications,What is the flow verification of the hydraulic model results??
IW CDS Revision Part Works Design Compliance The Works shall comply with this Code of Practice and with the associated Standard Details for Wastewater Infrastructure as minimum unless otherwise agreed in writing with Irish Water in advance,What is the Code of Practice and Standard Details for Wastewater Infrastructure??
The Works shall also comply with The Standards set out in Appendix The Civil Engineering Specification for the Water Industry Edition CESWI published by the Water Research Centre WRc plc,What is the Water Industry Edition CESWI??
This document is subject to amendments set out by Irish Water appropriate to Ireland Water Services sector and this Code of Practice takes account of these amendments The Environmental Protection Agency Guidance Document for Small Wastewater Treatment Plants in terms of the expected Wastewater loadings from various types of facilities subject to any amendments arising from Appendix,What is the Code of Practice??
Proposed Developments shall be drained on the basis of completely separate Wastewater Sewer system and Storm Water Collection system as outlined in Section,What is a Storm Water Collection system??
Gravity Drain Service Connections and Sewer shall have adequate gradient to maintain self cleansing conditions full pipe velocity generally greater than,What is the gradient of a drain??
Rising Main shall be sized to achieve self cleansing velocities and excessive velocities in the Rising Main should be avoided,What is the Rising Main sized to achieve??
The range of flow velocity within the Rising Main shall be between sec and sec,What is the range of flow velocity within the Rising Main??
Materials General Requirements The Developer is responsible for the provision of materials and shall have an auditable system in place to trace materials from manufacture specification purchase and through to delivery and their use in the permanent Works on site,What is the Developer's Responsibility for the Provision of Materials??
Materials including products components fittings or aturally occurring materials used in the construction of the Works shall comply with this Code of Practice and be of suitable ature d quality for their intended use,What is the Code of Practice??
In addition materials used in the Works design and construction shall achieve the following pollution of surface receiving waters and groundwater is prevented for all practicable purposes they are watertight in acc ordance with relevant test requirements outlined in this Code of Practice IW CDS Revision odour uisance or creation of toxic explosive or corrosive substances is avoided oise and vibration is minimised and any other egative impacts on the environment are avoided,What is the Code of Practice??
The suitability of materials and products can be demonstrated by appropriate use of product bearing CE marking in accordance with the EU Construction Products Regulations No,What can be demonstrated by appropriate use of CE marking?
CPR and any other relevant Directives which require product complying with an appropriate technical specification as defined in appropriate Directives and Regulations compliance with an appropriate harmonised Standard or European Technical Assessment in accordance with the provisions of the Constructi on Products Regulations No,What is an appropriate technical specification??
CPR Compliance with an appropriate Irish Standard or Agreement Certificate or with an alternative ational technical specification of the European Union product bearing CE Marking in accordance with the Const ruction Products Regulations No,What is a CPR??
From July CE MARKING of construction products covered by harmonised European Standards is mandatory,What is CE MARKING of construction products covered by harmonised European Standards?
Pipes should have sufficient ring stiffness to prevent deformation during storage embedmen and backfilling,What is ring stiffness??
Materials and components should comply with the following the manufacturing process should minimise the use of solvent based substances that emit volatile organic compounds or ozone depleting substances products should be made from recycled material where reasonably practicable,What is a ozone depleting substance??
In the event that ground conditions in any part of the site prove to be anything other than inert material the Developer shall inform Irish Water accordingly and shall take whatever precautions are deemed ecessary by Irish Water to deal with the situation,What if ground conditions in any part of the site prove to be anything other than inert material?
Such Sewers shall also be installed in specifically designed renches as approved by Irish Water or other necessary requirements,What are the requirements for installation of Sewers??
Structural Design and Integrity Specific Requirements The Works shall be designed and constructed to ensure structural integrity over the ir design life,What are the Specific Requirements??
The design shall ensure that IW CDS Revision all connections to existing Sewer are carried out in manner that do ot compromise the structural integrity of the existing Sewer and that the connection to the Sewer does ot damage the structural integrity of the pipe buried pipes have sufficient depth of cover as set out in Section below to afford adequate protection from anticipated imposed loading including loading from the passage of construction plant as well ormal design loading low temperatures and dam age from ormal use of the land and where this cannot be achieved there should be suitable alternative protection measures provided Manhole and branch pipework are built in to the Works for planned future connections to the requirements of Irish Water if requested if the depth of cover to the crown of the pipe is less than the values required herein protection measures are required by in order of precedence either the provision of reinforced concrete slab of concrete to IS EN the provision of full concrete surround of concrete with flexible joints or the use of ductile iron pipe for the distance where the depth is below requirements or combination of these requirements all details of the protection measures shall be to be agreed with Irish Water all pipes have the structural ability to resist the possible incidence of punching shear o vertical load is imposed by structures such as shafts onto on load bearing components such as the pipes the Works is resistant to tree root ingress where there is risk of such intrusion by use of appropriate barriers or pipelines constructed from polyethylene with welded joints see also Section below the Works shall be watertight in ccordance with test requirements to prevent ingress to and egress especially at connection locations trees and large shrubs shall ot be planted over the Works,What are the protection measures required by Irish Water if the depth of cover to the crown of the pipe is less than the values required??
Layout of Works and Manhole The layout of Gravity Sewer Rising Main Manhole and chambers in the Works shall be as simple as possible ensure infrastructure is located so that if there is structural failure an excavation may be carried out to repair the failure without impairing the integrity of adjacent buildings other infrastructure or trees shrub landscaping See Section below ensure infrastructure is located in pavements roads or in open spaces Rising Main may be located in either roads areas or in private property subject to the provision of an Easement giving Irish Water access for maintenance operational renewal replacement and upgrading activities ensure infrastructure is designed and constructed in order to provide access for any reasonably foreseeable maintenance renewal replacement and upgra ding activities IW CDS Revision ensure infrastructure is located so that it is safely accessible and apparent to Irish Water or its Agents and that covers are located at finished ground level ensure infrastructure is laid on the side of the street road where the housing density is greatest so that the umber of service pipes road crossings are minimised and the lengths of the service connections are minimised ensure that single collection etwork as opposed to dual etworks is provided and ensure that the maximum distance between Manhole does ot exceed for diameter pipes and above and does ot exceed for diameter pipes as outlined in Section,What is the layout of the Works and Manhole??
Alternative routes shall be considered to identify the best achi evable route that takes account of whole life cost arising from combination of the construction maintenance operation and eventual decommissioning of the asset See also Section Pumping Station General Requirements,What is the best route that takes account of whole life cost?
Sewer shall be located to ensure acceptable clearances between the line of the ew Sewer and the proposed property construction and any existing structures and features on the site,What are the clearances between the ew Sewer and the proposed property construction and any existing structures and features on the site??
Under o circumstances will Irish Water accept Sewer installations under structures existing or proposed or in close proximity to existing structures or features that will inhibit access for post installation maintenance and access or future works,Why accept Sewer installations under structures existing or proposed?
The following general requirements shall apply to the locations of the Work in ew Development that are covered by this Code of Practice The external face of any ew Sewer shall be at least or distance equivalent to the depth of the Sewer below the foundation whichever is greater from the external face of any building or Development structure,What are the requirements of an ew Sewer??
Modified foundation arrangements do ot obviate the eed for this separation distance,What is the need for this separation distance??
The minimum clear distance shall be increased if the Sewer is greater than deep or if the diameter is greater than,What is the minimum clear distance??
The minimum clear distances for pipe diameters of diameter and greater outside the diameter size covered by this Code of Practice or depths xceeding shall be based on specific consultation with Irish Water,What are the minimum clear distances for pipe diameters of diameter and greater outside the diameter size covered by this Code of Practice?
No building may be constructed over the line of Sewer service connection or Drain,What is a Sewer service connection or Drainage line??
This approach is in accordance with Section of the Public Health Act and the Water Services Act IW CDS Revision Sewer and Rising Main locations shall be agreed with Irish Water and where practicable shall be located in areas that are or will in future be maintained by the Local Authority road verges roads and public open space or space where they are reasonabl accessible and visible,Where practicable shall be located in areas that are or will in future be maintained by the Local Authority road verges roads?
Wayleaves and Dee ds of Easement shall be provided for all Sewer routes,Howleaves and Dee ds of Easement?
Sewer shall ot be laid in enclosed private land where there is practicable alternative route Between Manhole Sewers shall be laid in straight lines in both the vertical alignment profile and horizontal alignment plan,Where is practicable alternative route Between Manhole Sewers?
The external walls of the staggered manholes shall be separated by at least to allow compaction of backfill material between the structures The design of landscaping shall be undertaken at the same time as the design of the Drain and Sewer so that the impact of tree roots on the Works can be considered see Section below,What is the impact of tree roots on the Works??
Trees bushes shrubs shall ot be located closer to the Sewer or Drain than the canopy width at mature height except where special protection measures are provided,What is a Sewer or Drain??
tree should ot be planted directly over Sewer or where excavation onto the Sewer would require removal of the tree When in road or highway and in ddition to Section the outside of the Sewer to which this Code of Practice applies should be in the vehicle carriageway ot footway and shall be at least from the kerb line,What should ot be planted directly over Sewer?
The external faces of Manhole and chambers should be at least from the kerb line Storm Water sewer or Wastewater Sewer should generally ot be installed to cross over Water Main,What is a kerb line??
When the surface water or Wastewater Sewer is being installed under Water Main adequate structural supports shall be provided to maintain the structural integrity of the Water Main,When the surface water or Wastewater Sewer is being installed under Water Main?
Where crossing over Water Main is unavoidable the surface water or Wastewater Sewer crossings shall ot be located directly above IW CDS Revision the joints in the Water Main,Where crossing over Water Main is unavoidable?
No other utility service should be laid longitudinally directly above the line of the Wastewa ter Sewer Any Sewer crossing of Water Main shall do so at right angles or as ear to as possible to avoid prolonged envelopes of influence between the services,What is a Sewer crossing??
Crossings shall be located midway between the Water Main joints with minimum vertical clear distance of at least and up to or more in some instances between the Sewer pipe and the Water Main,What is the vertical distance between the Sewer pipe and the Water Main joints??
All such crossings shall be to Irish Water approval and shall ot be undertaken until Irish Water or its gents has examined the work at the crossing point and deemed it fit for backfilling Specific vertical separation distances for wastewater service connections and Sewers to other pipework including utility service pipes and ducts shall be in accordance ith the Table at the end of this Section There should be minimum clear horizontal distance of at least between the external face of Gravity Sewer Rising Main and other pipe duct utilities running parallel to it with clear local horizontal distance of between the external face of Gravity Sewer Rising Main and cabinets poles junction boxes Manhole or chambers Specific separation clearance distances in excess of those outlined above shall be provided for services such as gas electricity fibre optic or oil filled cables as the case may be,What should be the minimum vertical separation distance between the external face of Gravity Sewer Rising Main and other pipe duct utilities running parallel to it??
The particular utility providers shall be consulted to determine these minimum separation distances and evidence of this consultation with the specified separation distances shall be provided to Irish Water at design submission stage,What shall be provided to Irish Water at design submission stage??
For example the minimum separation distances for Gas Network Ireland infrastructure shall be in accordance with IS Gas Distribution Mains and IS Code of Practice for Gas Tr ansmission Mains as amended updated Deed of Grant of Easement shall be provided for all Sewers and Rising Mains prior to the ir construction,What are the minimum separation distances for Gas Network Ireland infrastructure??
Connections to the Irish Water Network will not be permitted without such Easements having been submitted and accepted by Irish Water,Why not submit Easements to the Irish Water Network??
