|questions|patterns|similar_question|similarity_score
287|What is a snore level?|What is EC1?|What is a SN stiffness class fitting?|0.699
288|What is a Volt Free Contact?|What is EC1?|What is a vortice?|0.7431
289|What is a Volt Free Contact?|What is EC1?|What is the Department Specifications on Electrical Installations?|0.7383
290|What is a dial out alarm?|What is EC1?|What is a tele metry outstation?|0.7466
291|What happens if the second person does ot acknowledge the alarm message?|What PC1 if EC1 PC2 PC2 EC2?|?|0.749
292|What happens if the second person does ot acknowledge the alarm message?|What PC1 if EC1 PC2 PC2 EC2?|What is a standard warning otice?|0.739
293|What is a square deep sump?|What is EC1?|What is the cost of such a method?|0.7457
294|What is the ESB incoming power cable?|What is EC1?|What is the minimum segregation separation between Band ELV signal and Band LV power cables?|0.727
295|What is the ESB incoming power cable?|What is EC1?|What is a Power factor correctio?|0.7195
296|What is the minimum segregation separation between Band ELV signal and Band LV power cables?|What is EC1 between EC2 and EC3?|What are the requirements for cable ways?|0.7454
297|What is the minimum segregation separation between Band ELV signal and Band LV power cables?|What is EC1 between EC2 and EC3?|What is the instrument end of the cable?|0.7444
298|What is the minimum segregation separation between Band ELV signal and Band LV power cables?|What is EC1 between EC2 and EC3?|What is the correct type and size cable?|0.7345
299|What is a swab?|What is EC1?|What are the requisite site tests for the Works?|0.7476
300|What is a swab?|What is EC1?|What is a re test?|0.7396
301|What is the containers freeboard size?|What is EC1 EC2?|What is the container positioned away from the sides?|0.7306
302|What is the containers freeboard size?|What is EC1 EC2?|What is a container to stand on?|0.7074
303|What is the containers freeboard size?|What is EC1 EC2?|What is the difference between a floating open container and a closed container?|0.6827
304|What is a Hoist Chain?|What is EC1?|?|0.7412
305|What is a Hoist Chain?|What is EC1?|Where th is is unavoidable?|0.7285
306|What is a Hoist Chain?|What is EC1?|What is the cost of such a method?|0.7195
307|What are the mechanical properties of fasteners made of carbon steel and alloy steel?|What are EC1 of EC2 PC1 EC3 and EC4?|What is the yield stress on the steel?|0.7457
308|What are the mechanical properties of fasteners made of carbon steel and alloy steel?|What are EC1 of EC2 PC1 EC3 and EC4?|What is required for steel fittings and specials?|0.7449
309|What are the mechanical properties of fasteners made of carbon steel and alloy steel?|What are EC1 of EC2 PC1 EC3 and EC4?|What is the steel grade for?|0.7444
310|What is EN Standard for the burglar resistant classifications of domestic and commercial doorsets?|What is EC1 EC2 for EC3 of EC4?|What is the requirement to comply with this Part?|0.7428
311|What is EN Standard for the burglar resistant classifications of domestic and commercial doorsets?|What is EC1 EC2 for EC3 of EC4?|?|0.7424
312|What is EN Standard for the burglar resistant classifications of domestic and commercial doorsets?|What is EC1 EC2 for EC3 of EC4?|What is the purpose of these guidelines?|0.7392
313|What is gui dance from IW?|What is EC1 from EC2?|What is the Self Lay Surety?|0.6916
314|What is gui dance from IW?|What is EC1 from EC2?|?|0.6893
315|What is gui dance from IW?|What is EC1 from EC2?|What is required in Section above?|0.6822
316|What are the requirements for rising main profiles in accor dance?|What are EC1 for EC2 in EC3?|What is required in Section above?|0.7194
317|What are the requirements for rising main profiles in accor dance?|What are EC1 for EC2 in EC3?|What should be used as far as possible?|0.7171
318|What are the requirements for rising main profiles in accor dance?|What are EC1 for EC2 in EC3?|What is the Code of Practice and Standard Details?|0.7145
319|What is ew Table and te xt?|What is EC1 and EC2?|What can occur at the outset of ew development?|0.7467
320|What is ew Table and te xt?|What is EC1 and EC2?|What does the Developer provide for ew Development?|0.7425
321|What is a Stiffness Class SN fitting?|What is EC1 fitting?|What is a scour fitting?|0.7363
322|What is a Stiffness Class SN fitting?|What is EC1 fitting?|What is soldered fittings?|0.7134
323|What is a Class engineering brick?|What is EC1?|What would a Class or higher work be?|0.7484
324|What is the use of degreasers and enzymes?|What is EC1 of EC2 and EC3?|What should be used as far as possible?|0.7458
325|What is the use of degreasers and enzymes?|What is EC1 of EC2 and EC3?|What has been included in the following definitions?|0.7456
326|What is a VSD control panel?|What is EC1?|What is the voltage of the control circuit supply voltage?|0.7306
327|What is the requirement for aperture size overflow screens?|What is EC1 for EC2?|What are the Specific Requirements?|0.7055
328|What is the requirement for aperture size overflow screens?|What is EC1 for EC2?|What should be used as far as possible?|0.704
329|What is tand size?|What is EC1?|What are the sizes to be used?|0.7064
330|What is tand size?|What is EC1?|What should be used as far as possible?|0.7018
331|What is tand size?|What is EC1?|What is the TII Specification?|0.6974
332|What is tand size?|What is EC1?|What are the following Specifica tions?|0.6938
333|What is the least squares method for stand sizes?|What is EC1 for EC2?|What are the recommended minimum dimensions?|0.7141
334|What is a sprinkler ead?|What is EC1 EC2?|What happens when these flows discharge without treatment to watercourses or land drainage systems?|0.7456
335|What is a sprinkler ead?|What is EC1 EC2?|What happens when pressure of water is applied to the pipework?|0.7428
336|What is a sprinkler ead?|What is EC1 EC2?|What is the maximum allowed drop after allowing for evaporation and rainfall?|0.7359
337|What is a sprinkler ead?|What is EC1 EC2?|What is the average dry weather flow?|0.7347
338|What happens when sheathing is to be applied after lini g?|What PC1 when PC2 is PC3 be PC3 EC1?|?|0.7429
339|What is the steam curing process?|What is EC1?|?|0.7175
340|What is the steam curing process?|What is EC1?|What is the Developers Right to Revert to?|0.7078
341|What is an epoxy zinc sealer?|What is EC1?|What is the sealant used?|0.7403
342|What is an epoxy zinc sealer?|What is EC1?|What shall be the sealant?|0.7392
343|What is an epoxy zinc sealer?|What is EC1?|What is a sealer?|0.7375
344|What is a dft?|What is EC1?|What are the following proformas?|0.7373
345|What is a dft?|What is EC1?|?|0.7373
346|What is a dft?|What is EC1?|What is Standard Specification DWS?|0.7347
347|What is a topacryl finish?|What is EC1?|What type of material is offered?|0.733
348|What is a topacryl finish?|What is EC1?|What is the finished lining?|0.7294
349|What is a topacryl finish?|What is EC1?|What shall be the replacement material?|0.7242
350|What is a topacryl finish?|What is EC1?|What is the main fill material?|0.7192
351|What is the ominal diameter of the branch in millimeters?|What is EC1 of EC2 in EC3?|What is the ominal diameter of a pipe?|0.7433
352|What is the ominal diameter of the branch in millimeters?|What is EC1 of EC2 in EC3?|What are the criteria for the use of branch or saddle connections?|0.7407
353|What is bitumen dipped?|What is EC1 PC1?|What should be laid in soil that is contaminated with petrol oil?|0.7212
354|What is bitumen dipped?|What is EC1 PC1?|What is the subject of this document?|0.7086
355|What is a coal coating?|What is EC1?|What happens when there are industrial or mining activities in the vicinity?|0.7497
356|What is a coal coating?|What is EC1?|What shall the time between surface preparation and coating be?|0.7319
357|What is a coal coating?|What is EC1?|What is a Class standard coating?|0.707
358|What is a coal coating?|What is EC1?|What is a damage or contamination?|0.701
359|What is bitumen dipping?|What is EC1 dipping?|What should be laid in soil that is contaminated with petrol oil?|0.7166
360|What is bitumen dipping?|What is EC1 dipping?|What is the subject of this document?|0.6978
361|What is the City of Cape Town SAP system for extraction of information?|What is EC1 of EC2 for EC3 of EC4?|What should be used as far as possible?|0.7281
362|What is the City of Cape Town SAP system for extraction of information?|What is EC1 of EC2 for EC3 of EC4?|?|0.7227
363|What is the City of Cape Town SAP system for extraction of information?|What is EC1 of EC2 for EC3 of EC4?|What should be elucidated in the report?|0.714
364|What is the City of Cape Town SAP system for extraction of information?|What is EC1 of EC2 for EC3 of EC4?|What could be made between townships and suburbs in the data sets of Cape Town?|0.7131
365|What is a Field Terminal Device AMR feature?|What is EC1?|What is a uf Terminal?|0.7497
366|What is a Field Terminal Device AMR feature?|What is EC1?|What shall Terminals be fixed to the back of the junction box?|0.7454
367|What is the life span of a battery?|What is EC1 of EC2?|?|0.7488
368|What is the life span of a battery?|What is EC1 of EC2?|What should be used as far as possible?|0.7457
369|What is the life span of a battery?|What is EC1 of EC2?|How and where the electricity is supplied and metered?|0.7325
370|What is the SABS NCRS Metrological certificate?|What is EC1?|What is SA NS approved?|0.7444
371|What is the SABS NCRS Metrological certificate?|What is EC1?|What is SA NS as amended?|0.7403
372|What is a stopcock?|What is EC1?|What is a pipe stop plug?|0.7292
373|What is a stopcock?|What is EC1?|What is a start stop?|0.7173
374|What is the size of a st opcock?|What is EC1 of EC2?|?|0.7368
375|What is the size of a st opcock?|What is EC1 of EC2?|What is the difference between the specified length and the specified width?|0.7181
376|What should be laid in soil that is contaminated with petrol oil?|What PC1 be PC1 EC1 EC2 is PC2 EC3?|What is the condition of the soil in which the pipe is to be laid?|0.7421
377|What are the less expensive chrome plated taps for kitchen sinks and wash hand basins?|What are EC1 for EC2 and PC1 EC3?|What should the tap be of?|0.7441
378|What are the less expensive chrome plated taps for kitchen sinks and wash hand basins?|What are EC1 for EC2 and PC1 EC3?|What is Drains and associated access accessories upstream of the boundary of the Premises?|0.7332
379|What are the less expensive chrome plated taps for kitchen sinks and wash hand basins?|What are EC1 for EC2 and PC1 EC3?|What shall the Contractor do to ensure the safe and efficient handling of all pipes and fittings?|0.7289
380|What are the flow characteristics of ballostops?|What are EC1 of EC2?|What are the precautions to avoid causing damage to or interference with flow?|0.7455
381|What is the case for outside taps?|What is EC1 for EC2?|Where the water source is being further developed?|0.7426
382|What is the cost of a garden tap?|What is EC1 of EC2?|What is the peak capacity of the feeder pipes and water purification works?|0.7366
383|What is a cistern?|What is EC1?|?|0.7435
384|What is a cistern?|What is EC1?|What are the following proformas?|0.7332
385|What is a cistern?|What is EC1?|What should be used as far as possible?|0.7331
386|What is a litre Shires duranite unit?|What is a litre EC1 duranite unit?|Where th is is unavoidable?|0.7499
387|What is a litre Shires duranite unit?|What is a litre EC1 duranite unit?|What is the format of this example?|0.7497
388|What is a cistern positive feature?|What is EC1?|?|0.7467
389|What is a cistern positive feature?|What is EC1?|What is the most favourable alternative?|0.7335
390|What is a cistern positive feature?|What is EC1?|What should be elucidated in the report?|0.7324
391|What is a sacrificial anode?|What is EC1?|?|0.7414
392|What is a sacrificial anode?|What is EC1?|What is the cost of such a method?|0.7367
393|What is a sacrificial anode?|What is EC1?|What is the most favourable alternative?|0.7362
394|What is anode eplaced?|What is anode PC1?|?|0.7467
395|What is anode eplaced?|What is anode PC1?|What should be used as far as possible?|0.7448
396|What is anode eplaced?|What is anode PC1?|What has been included in the following definitions?|0.7441
397|What are the requirements of SANS?|What are EC1 of EC2?|What should be used as far as possible?|0.7393
398|What is the cost of hydraul ic testing?|What is EC1 of EC2?|What type of couplings shall be used for jointing to hydrants and valves?|0.7414
399|What is the cost of hydraul ic testing?|What is EC1 of EC2?|What are the results of these tests?|0.7149
400|Where o convenient hydrant exists?|Where EC1 convenient hydrant exists?|Where the water source is being further developed?|0.729
401|Why use a Talbot Steripress?|Why PC1 EC1?|?|0.7493
402|Why use a Talbot Steripress?|Why PC1 EC1?|What should be used as far as possible?|0.7255
403|Why use a Talbot Steripress?|Why PC1 EC1?|What is the requirement to comply with this Part?|0.7251
404|Why use a Talbot Steripress?|Why PC1 EC1?|What is the format of this example?|0.7248
405|What does a hydrant consist of?|What does EC1 of?|What is a water test?|0.7355
406|What is The Saw Tooth method?|What is EC1?|What are the requirements of this Code of Practice?|0.7156
407|What is The Saw Tooth method?|What is EC1?|What is the minimum distance between cut in and cut out levels?|0.7136
408|What is The Saw Tooth method?|What is EC1?|?|0.7125
409|What is The Saw Tooth method?|What is EC1?|What is this Code of Practice?|0.7026
410|What was the disruption caused by the use of shacks in Kosovo?|What was EC1 PC1 EC2 of EC3 in EC4?|What are the blocks of toilets used in Kosovo Service Guidelines Standards for Water and Sanitation Department CCT?|0.7187
411|What was the disruption caused by the use of shacks in Kosovo?|What was EC1 PC1 EC2 of EC3 in EC4?|What is the purpose of comparing the et present value of alternative configurations?|0.6954
412|What was the disruption caused by the use of shacks in Kosovo?|What was EC1 PC1 EC2 of EC3 in EC4?|What is the municipality doing in house?|0.6876
413|What was the disruption caused by the use of shacks in Kosovo?|What was EC1 PC1 EC2 of EC3 in EC4?|What is a double lock?|0.6851
